"title","Street Tree Planting"
"copyright","Copyright (c) 2022 NYC Department of Parks and Recreation"
"link","http://nyc.gov/parks/treework"
"description","NYC Department of Parks and Recreation"
"language","en-us"
"lastBuildDate","2022-08-15 00:49:46"
"note","The raw data contained here may be displayed differently than what appears on the Tree Work Hub reports at nyc.gov/parks/treework, due to post-processing of the data to make it readable for the web (e.g. updated addresses, entries not displayed due to missing addresses, reformatted dates, etc.)."
"lng","lat","Borough","ZipCode","BuildingNumber","StreetName","FiscalYear","PlantingSpaceID","CommunityBoard","PlantingSeason","CityCouncil","TreeID","WOId","WOStatus","CompletedDate"
" -74.00477257","40.73392855","Manhattan","10014","218","WEST  10 STREET","0","1339483","102","05/31/2022","3","0","13734209","Not Completed",""
" -74.00872201","40.62741477","Brooklyn","11219","1049","OVINGTON AVENUE","0","1481099","310","05/31/2022","43","0","13678845","Not Completed",""
" -73.86586833","40.73439893","Queens","11373","94-10","60 AVENUE","0","1558176","404","05/31/2022","25","1384411","10079788","Completed","2022-06-10 00:00:00"
" -74.00285012","40.72803053","Manhattan","10014","224","AVENUE OF THE AMERICAS","0","1560825","102","05/31/2022","3","0","9998086","Not Completed",""
" -73.96441171","40.80493028","Manhattan","10025","523","WEST 112 STREET","0","1568551","109","05/31/2022","7","0","13809151","Not Completed",""
" -73.96424427","40.80485974","Manhattan","10025","521","WEST 112 STREET","0","1568553","109","05/31/2022","7","0","13809542","Not Completed",""
" -73.86588072","40.83425792","Bronx","10472","1809","MC GRAW AVENUE","0","1564505","209","05/31/2022","18","1390740","14357271","Not Completed",""
" -73.97294077","40.61467782","Brooklyn","11230","1441","EAST  2 STREET","0","1567732","312","05/31/2022","44","1393967","10026710","Completed","2021-05-03 00:00:00"
" -73.96448437","40.80496088","Manhattan","10025","523","WEST 112 STREET","0","1568550","109","05/31/2022","7","0","13809543","Not Completed",""
" -73.96222309","40.81236624","Manhattan","10027","620","WEST 122 STREET","0","1569542","109","05/31/2022","7","0","14110508","Not Completed",""
" -73.97019383","40.80066724","Manhattan","10025","309","WEST 104 STREET","0","1569888","107","05/31/2022","6","1396123","18276828","Not Completed",""
" -73.87739908","40.82611123","Bronx","10472","1542","WATSON AVENUE","0","1571183","209","05/31/2022","18","0","14185979","Not Completed",""
" -73.87693111","40.82402834","Bronx","10472","1000","BOYNTON AVENUE","0","1571262","209","05/31/2022","18","1397497","14356772","Not Completed",""
" -73.96944600","40.80106591","Manhattan","10025","300","WEST 105 STREET","0","1569918","107","05/31/2022","6","0","18276830","Not Completed",""
" -73.94442274","40.81384441","Manhattan","10027","2259","ADAM C POWELL BOULEVARD","0","1573161","110","05/31/2022","9","1399396","7349412","Not Completed",""
" -73.84328086","40.84160219","Bronx","10461","2601","PONTON AVENUE","0","1572554","210","05/31/2022","13","0","14031843","Not Completed",""
